Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
435                  2                    100                  0.9600000000         Unidimensional Y     33.6051394021        Equal GLC            12.0349843654       
435                  3                    100                  0.9100000000         Unidimensional X     58.8525142877        Unidimensional X     24.8210869579       
435                  4                    100                  0.9500000000         Unidimensional X     40.3148611502        Equal GLC            13.3478318196       
435                  5                    100                  0.6800000000         Equal GLC            123.8346417612       Equal GLC            55.0095656016       
435                  6                    100                  0.7700000000         Equal GLC            117.5115575897       Equal GLC            51.8480235159       
436                  1                    100                  0.7000000000         Unidimensional Y     113.6963408411       Equal GLC            50.7748809924       
436                  2                    100                  0.8700000000         Unidimensional Y     56.6627133430        Equal GLC            23.7230208807       
436                  3                    100                  0.7800000000         Equal GLC            111.6266106008       Equal GLC            48.9055500214       
436                  4                    100                  0.9700000000         Unidimensional X     22.6932531880        Unidimensional X     6.7414564080        
436                  5                    100                  0.6800000000         Unidimensional Y     118.6417685863       Unidimensional Y     54.7157141072       
436                  6                    100                  0.6800000000         Unidimensional Y     126.7155427210       Equal GLC            57.2683931337       
